name;price;image_url;quantity;description;category;tax;power
WINO ASKANELI ALAZANI VALLEY B/PS 0,75L 12,5% GRUZJA;34.50;https://alkoholeswiata24.pl/gfx/mini/1686567412.2265.jpg, https://alkoholeswiata24.pl/gfx/1686567412.2265.jpg;2;Wino Askaneli Alazani Valley- białe, półsłodkie Gruzja  Powstaje z wyselekcjonowanych, dojrzałych winogron szczepu Rkatsiteli z dodatkiem winogron Tetra lub Tsolikauri. Wino charakteryzuje się delikatnym i świeżym smakiem owoców, z przewagą melona, zielonego jabłka, cytrusów i pigwy. Lekkie, orzeźwiające wino, doskonałe do relaksu. Zabutelkowane z mocą 12,5% abv. najlepiej pić schłodzone w temperaturze 6-9 °C. Podawać w  .;wino białe;1;Moc:12,5%
WINO ARIS SOLARIS 12,5% 0,75L B/W;69.00;https://alkoholeswiata24.pl/gfx/mini/1684843607.8906.jpg, https://alkoholeswiata24.pl/gfx/1684843607.8906.jpg;1;Wino Aris Solaris białe, wytrawne - wino polskie regionalne  w regionalnej winnicy Aris  . Powstaje w 100% ze szczepu solaris- najpopularniejszej odmianie winorośli w Polsce. Zabutelkowane z mocą 12,5% abv. To dobre wino z wieloma możliwościami połączeń kulinarnych, zaczynając od ryb, dań z kremowymi sosami, kończąc na owocach. Z tym winem polubią się koneserzy wytrawnych smaków. Wino Aris Solaris - noty degustacyjne : Brzoskwinia, gruszka, cytrusy i kwiaty. : Owocowy z delikatną goryczką.  : Przyjemny, orzeźwiający.;wino białe;1;Moc:12,5%
WINO AMARONE DELLA VALPOLICELLA NINO ARDEVI DOC 15% CZ/W 0,75L WŁOCHY;149.90;https://alkoholeswiata24.pl/gfx/mini/1668074410.7766.jpg, https://alkoholeswiata24.pl/gfx/1668074410.7766.jpg;5;Wino włoskie Amarone Della Valpolicella Nino Ardevi DOC czerwone, wytrawne 15;wino czerwone;1;Moc:15%
WINO ASKANELI ALAZANI VALLEY CZ/PS 0,75L GRUZJA;37.50;https://alkoholeswiata24.pl/gfx/mini/1686575692.2743.jpg, https://alkoholeswiata24.pl/gfx/1686575692.2743.jpg;0;Wino Askaneli Alazani Valley- czerwone, półsłodkie Gruzja Askaneli Alazani Valley to czerwone, półsłodkie wino produkowane w regionie Kakheti, Gruzja. Powstaje z winogron szczepu Saperavi, czasami z małym dodatkiem Aleksandrouli i Mujuretuli. Aksamitne wino  doskonale zbalansowanym smakiem czerwonych owoców i umiarkowaną słodyczą. Na podniebieniu wyczuwalne nuty jeżyn, czarnego pieprzu z miękkimi taninami. Zabutelkowane z mocą 12% abv.  Czerwone wino Askaneli Alazani Valley doskonale komponuje się z ciastami, deserami i owocami.;wino czerwone;1;Moc: 0%
WINO ARIS RIESLING 11% 0,75L B/PS;79.90;https://alkoholeswiata24.pl/gfx/mini/1684839543.9234.jpg, https://alkoholeswiata24.pl/gfx/1684839543.9234.jpg;0;Wino Aris Riesling białe, półsłodkie - polskie wino regionalne , produkowane w regionalnej winnicy Aris w w . Powstaje w 100% ze szczepu Riesling, uznawanego za jeden z najszlachetniejszych odmian. Zabutelkowane z mocą 11% abv. Najlepiej komponuje się z pikantnymi daniami kuchni azjatyckiej.  Wino Aris Riesling białe, półsłodkie - noty degustacyjne : Kwiatowy, z nutami zielonych jabłek.  : Jabłka, cytrusy, morele. : Długi i mocno owocowy.;wino białe;1;Moc:11%
WINO ASKANELI KINDZMARAULI CZ/PS 0,75L GRUZJA;55.50;https://alkoholeswiata24.pl/gfx/mini/1686577238.4432.jpg, https://alkoholeswiata24.pl/gfx/1686577238.4432.jpg;4;Askaneli Kindzmarauli to czerwone, półsłodkie wino gruzińskie produkowane z winogron szczepu Saperavi. Winogrona uprawiane w apelacji Kindzmarauli były starannie wyselekcjonowane. Wino charakteryzuje się mocnym, zdecydowanym bukietem aromatyczno-smakowym z umiarkowaną słodyczą. Na podniebieniu wyczuwalne czarne jagody, pieprz i owoce tropikalne doskonale zbalansowane z orzeźwiającą kwasowością. Wyśmienite wino, które kojarzy się z letnim ogrodem różanym. Zabutelkowane z mocą 12% abv.  Wino gruzińskie Askaneli Kindzmarauli doskonale komponuje się z deserami, owocami i ciastami.;wino czerwone;1;Moc: 0%
WINO ANTANO RIOJA RED CZ/W 0,75L;34.99;https://alkoholeswiata24.pl/gfx/mini/1668779507.6084.jpg, https://alkoholeswiata24.pl/gfx/1668779507.6084.jpg;0;;wino czerwone;1;Moc: 0%
WINO ARIS MUSCARIS 11% 0,75L B/S;69.50;https://alkoholeswiata24.pl/gfx/mini/1687340186.6984.jpg, https://alkoholeswiata24.pl/gfx/1687340186.6984.jpg;0;Wino Aris Muscaris - białe, słodkie Wino białe słodkie Muscaris produkowane w regionalnej winnicy Aris mieszczącej się w województwie Lubuskim. Powstaje z wyselekcjonowanych winogron własnej uprawy odmiany Muscaris z rocznika 2021. Zabutelkowane z mocą 11% abv.  Wino Aris Muscaris najlepiej podawać w temperaturze 8-10℃ w towarzystwie serów pleśniowych lub deserów.  Wino Muscaris Aris - noty degustacyjne : Czarny bez, róża, owoce, gałka muszkatołowa, nuta korzennych przypraw. : Owoce liczi, kandyzowana morela, czarny bez, akcent korzennych przypraw. : Długi i owocowy.;wino białe;1;Moc:11%
WINO ANGOVE ORGANIC SHIRAZ CABERNET CZ/W 0,75L AUSTRALIA;49.00;https://alkoholeswiata24.pl/gfx/mini/1653296522.5801.jpg, https://alkoholeswiata24.pl/gfx/1653296522.5801.jpg;0;;wino czerwone;1;Moc: 0%
WINO ARIS JOHANNITER SUR LIE BARRIGUE 12,46% 0,75L B/PW;93.90;https://alkoholeswiata24.pl/gfx/mini/1684837489.8339.jpg, https://alkoholeswiata24.pl/gfx/1684837489.8339.jpg;5;Wino Aris Johanniter Sur Lie Barrigue białe, półwytrawne - wino regionalne . Produkowane jest z winogron dojrzewających w słońcu szczepu johanniter z rocznika 2021. Wino dojrzewa w dębowej beczce przez 6 miesięcy na naturalnym osadzie drożdżowym. Zabutelkowane z mocą 12,46% abv. Białe, polskie wino półwytrawne Johanniter Sur Lie Barrigue najlepiej komponuje się z daniami rybnymi, owocami morza i delikatnymi potrawami z ryżem.  Polskie wino Aris Johanniter Sur Lie Barrigue - noty degustacyjne : Żółte jabłka, morele, nektarynki, białe porzeczki.  : Świeży, owocowy z wyczuwalną mineralnością i orzeźwiającą kwasowością.  : Długi i orzeźwiający. *na zdjęciu przedstawiony przykładowy rocznik wina.;wino białe;1;Moc:12,46%
WINO APHORA SAPERAVI CZ/W 0,75L GRUZJA;64.50;https://alkoholeswiata24.pl/gfx/mini/1680266857.5224.jpg, https://alkoholeswiata24.pl/gfx/1680266857.5224.jpg;0;Wino Aphora Saperavi - wino gruzińskie czerwone, wytrawne  produkowane z wyselekcjonowanych, najwyższej jakości winogron   uprawianych w regionie Kachetii. Winogrona po odszypułkowaniu są miażdżone i przekładane do  . Po sfermentowaniu wytłoki winogron są wyjmowane, a wino umieszczane jest w Qvervi na koleje sześć miesięcy. Po osiągnięciu pełnej dojrzałości wino jest butelkowane z mocą 12% abv.   charakteryzuje się piękną ciemną-rubinową barwą. W aromacie wyczuwalne   Na podniebieniu dominują dojrzałe ciemne owoce i aksamitne taniny.  Wino najlepiej 16-18° C w towarzystwie czerwonych mięs i dojrzałych serów.;wino czerwone;1;Moc: 0%
