name;price;image_url;quantity;description;category
WINIAK GRUSZNIK 0,05L 40% MINIATURKA;39.90;https://alkoholeswiata24.pl/gfx/mini/1619083361.4356.jpg, https://alkoholeswiata24.pl/gfx/1619083361.4356.jpg;0;;wodki smakowe
WINIAK JABŁKO 0,05L 40% MINIATURKA;39.90;https://alkoholeswiata24.pl/gfx/mini/1619083328.851.jpg, https://alkoholeswiata24.pl/gfx/1619083328.851.jpg;5;;wodki smakowe
WÓDKA IMA DISTILLERY OKOWITA JABŁKO/CHRZAN 0,5L 42,3%;124.89;https://alkoholeswiata24.pl/gfx/mini/1664458601.2513.jpg, https://alkoholeswiata24.pl/gfx/1664458601.2513.jpg;0;Wódka Ima Distillery Okowita Jabłko Chrzan 0,5l 42,3%;wodki owocowe
WINIAK CZERWONA PORZECZKA 0,7L 40%;156.00;https://alkoholeswiata24.pl/gfx/mini/1614986433.9947.jpg, https://alkoholeswiata24.pl/gfx/1614986433.9947.jpg;3;;wodki smakowe
WÓDKA IMA DISTILLERY CLASSIC JABŁKOWA 0,5L 40%;84.00;https://alkoholeswiata24.pl/gfx/mini/1664453829.5962.jpg, https://alkoholeswiata24.pl/gfx/1664453829.5962.jpg;2;Wódka IMA Distillery Classic Jabłkowa Vodka 0,5l 40%;wodki owocowe
WINIAK CZERWONA PORZECZKA 0,05L 40% MINIATURKA;39.90;https://alkoholeswiata24.pl/gfx/mini/1619083545.9301.jpg, https://alkoholeswiata24.pl/gfx/1619083545.9301.jpg;1;;wodki smakowe
WÓDKA GORAL MASTER GRAPEFRUIT 0,7L 40%;75.90;https://alkoholeswiata24.pl/gfx/mini/1698138375.6879.jpg, https://alkoholeswiata24.pl/gfx/1698138375.6879.jpg;3;Wódka Goral Master Grapefruit 0,7l Goral Master Master Grapefruit to wódka premium produkowana na Słowacji w Tatrach. Wytwarzana z wysokiej jakości pszenicy ozimej i krystalicznej, górskiej wody źródlanej. Przechodzi przez siedmiokrotną destylację kolumnową i siedmiokrotną filtrację przez naturalne minerały, również diamenty. Produkcja odbywa się z zachowaniem tradycyjnych metod historią sięgającą XVIII wieku. Charakteryzuje się niezwykłą lekkością i delikatnym, łagodnym smakiem. To doskonała wódka do picia na czysto, jest wyjątkowo łatwo pijalna i cechuje się kremowym, zrównoważonym smakiem. Do wódki Goral Master został dodany naturalny ekstrakt z grejpfruta i w efekcie uzyskano orzeźwiającą, lekko cytrusowa wódkę. Zamknięta w butelkę o unikalnym designie, do którego został dołączony elegancki kartonik.;wodki owocowe
WINIAK AGREST 0,7L 40%;134.00;https://alkoholeswiata24.pl/gfx/mini/1614986159.0918.jpg, https://alkoholeswiata24.pl/gfx/1614986159.0918.jpg;0;;wodki smakowe
WÓDKA GORAL MASTER CRANBERRY 0,7L 40%;75.90;https://alkoholeswiata24.pl/gfx/mini/1698136260.8276.jpg, https://alkoholeswiata24.pl/gfx/1698136260.8276.jpg;2;Wódka Goral Master Cranberry 0,7l - wódka żurawinowa Goral Master Master Cranberry to wódka premium produkowana na Słowacji w Tatrach. Wytwarzana z wysokiej jakości pszenicy ozimej i krystalicznej, górskiej wody źródlanej. Przechodzi przez siedmiokrotną destylację kolumnową i siedmiokrotną filtrację przez naturalne minerały, również diamenty. Produkcja odbywa się z zachowaniem tradycyjnych metod historią sięgającą XVIII wieku. Charakteryzuje się niezwykłą lekkością i delikatnym, łagodnym smakiem. To doskonała wódka do picia na czysto, jest wyjątkowo łatwo pijalna i cechuje się kremowym, zrównoważonym smakiem.  Do wódki Goral Master został dodany naturalny ekstrakt z żurawiny i w efekcie uzyskano delikatnie słodką wódkę. Zamknięta w butelkę o unikalnym designie, do którego został dołączony elegancki kartonik.;wodki owocowe
WINIAK AGREST 0,05L 40% MINIATURKA;39.90;https://alkoholeswiata24.pl/gfx/mini/1619083586.0942.jpg, https://alkoholeswiata24.pl/gfx/1619083586.0942.jpg;0;;wodki smakowe
