name,price,image_url,product_code,large_image_url,description
"GIN CUBICAL KISS  0,7L 37,5%",174.00,gfx/mini/1610961846.3313.jpg,8410028901586,gfx/1610961846.3313.jpg,
"GIN CAORUNN RASPBERRY 0,5L 41,8%",97.90,gfx/mini/1581587455.798.jpg,5010509881616,gfx/1581587455.798.jpg,"Gin Caorunn Raspberry 0,5l 41,8% Z pełnym opisem zapoznaj się  ."
"GIN CITY OF LONDON DISTILLERY MURCIAN ORANGE GIN 40,3% 0,7L",97.99,gfx/mini/1648641450.2419.jpg,5010375000470,gfx/1648641450.2419.jpg,
"GIN CITY OF LONDON DISTILLERY DRY GIN 40,3% 0,7L",97.99,gfx/mini/1648638740.7548.jpg,5010375000456,gfx/1648638740.7548.jpg,
"GIN CAORUNN RASPBERRY 0,7L 41,8%",138.01,gfx/mini/1680249987.6602.jpg,5010509882330,gfx/1680249987.6602.jpg,"Gin Caorunn Raspberry 0,7l 41,8%  wytwarzany w małych, limitowanych ilościach w Szkocji. Jego nazwa Caorunn (czyt. ka-roon) wzięła się od  . Jak można się domyślić, to właśnie pikantna jarzębina jest sercem tego trunku. Wraz z czterema innymi gaelickimi roślinami i sześcioma klasycznymi roślinami botanicznymi ginu tworzą zrównoważoną i spójną całość. Po ręcznym dobraniu składników są one umieszczane w specjalnym aparacie destylacyjnym ""Copper Berry Chamber"", używanych w USA w latach 20 XX wieku do produkcji perfum. Powolna destylacja w tym destylatorze pozwala na uzyskanie  . Zabutelkowany z mocą 41,8% abv. Caorunn Raspberry gin  . Do podstawowej wersji została dodane esencja z malin z Perthshire. Orzeźwiający i wytrawny smak Caorunn został wzbogacony n . : Mocne nuty maliny, wanilia. : Wyraźnie owocowy, malina, cierpka jarzębina. : Długi i świeży."
"GIN CUBICAL PREMIUM  0,7L 40%+ SZKLANKA",154.91,gfx/mini/1617049533.5106.jpg,8410028902101,gfx/1617049533.5106.jpg,
"GIN ETSU JAPANESE 0,7L 43% + KIELISZEK",199.99,gfx/mini/1696418671.9855.jpg,3700631900249,gfx/1696418671.9855.jpg,", który został wyprodukowany na wyspie Hokkaido w Japonii. Jego nazwa "" "" oznacza ""przyjemność"" i dokładnie to odczuwamy podczas jego degustacji. Wyprodukowany został z azjatyckich roślin, m.in. jagód, papryki, herbat i zółtego Yuzu. Smak jest świeży, lekki, z nutami cytrusów.   będzie wspaniałym prezentem dla każdego kto lubi egzotyczne smaki."
"GIN ETSU DOUBLE YUZU JAPANESE 0,7L 43%",209.90,gfx/mini/1685435761.8593.jpg,4971980636519,gfx/1685435761.8593.jpg,"Gin Etsu Double Yuzu Japanese   w destylarni Akita w Japonii na wyspie Honsiu. Powstaje z tradycyjnych roślin botanicznych, takich jak Yuzu japońskie, korzeń lukrecji, korzeń arcydzięgla, jagody jałowca, kolendra, herbata matcha. Rośliny macerowane są przez siedem dni, a następnie gin jest destylowany bez roślin botanicznych. Proces ten pozwala na zaparzenie olejków, co wpływa na bardzo aromatyczny charakter ginu. Po destylacji dodawana jest świeża, krystaliczna górska woda nadająca świeżego i lekkiego smaku. Zamknięty z mocą 43% abv w przykuwającą butelkę z żołtą etykietą i wizerunkiem Japonki. Jak smakuje japooński Gin Etsu Double Yuzu? . Gin najlepiej pić z kostką lodu, lub z dodatkiem toniku i plasterkiem cytryny. Nagrody dla Gin Etsu Double Yuzu: Złoty medal- The Asian Spirits Maseters 2021."
"GIN ETSU DOUBLE ORANGE JAPANESE 0,7L 43%",209.00,gfx/mini/1686058696.4262.jpg,4971980638377,gfx/1686058696.4262.jpg,"Gin Etsu Double Orange Japanese , produkowany w Akita Distillery na wyspie Honsiu w Japonii. Macerowany przez siedem dni z tradycyjnymi roślinami botanicznymi: japońska gorzka pomarańcza, korzeń lukrecji, jagody jałowca, arcydzięgiel, czy kolendra. Po destylacji do ginu dodawana jest górska woda z Ōu Mountains.  , który będzie dobry do picia na czysto jak i do koktajli.  Etsu Double Orange Gin - noty degustacyjne : Mocno owocowy, z nutami orzeźwiającej pomarańczy, ziół i zielone herbaty.   : Świeży, soczyste pomarańcze, owoce yuzu, cytryny. : Długi i krągły."
"GIN ETSU DOUBLE ORANGE JAPANESE 0,7L 43% + KIELICH",219.99,gfx/mini/1696417985.4565.jpg,4589891960694,gfx/1696417985.4565.jpg,", produkowany w Akita Distillery na wyspie Honsiu w Japonii. Macerowany przez siedem dni z tradycyjnymi roślinami botanicznymi: japońska gorzka pomarańcza, korzeń lukrecji, jagody jałowca, arcydzięgiel, czy kolendra. Po destylacji do ginu dodawana jest górska woda z Ōu Mountains.  , który będzie dobry do picia na czysto jak i do koktajli. W zestawie z eleganckim kielichem będzie świetnym pomysłem na prezent.  : Mocno owocowy, z nutami orzeźwiającej pomarańczy, ziół i zielone herbaty.   : Świeży, soczyste pomarańcze, owoce yuzu, cytryny. : Długi i krągły."
